Título,Fecha,Descripción,URL,Fuente
Actores piden donantes de sangre para reconocida actriz internada en la UCI del Hospital Hernán Henríquez de Temuco,16/04/2025,Sigrid Alegría se sumó a la petición. “Necesito pedir un favor para una amiga con la…,https://www.elperiodico.cl/category/temuco/page/1,El Periódico
Preu Araucanía firma inédito convenio con Universidad Santo Tomás de Temuco,15/04/2025,"Esta alianza busca reducir las brechas educacionales, ampliar la cobertura y mejorar el acceso a oportunidades…",https://www.elperiodico.cl/category/temuco/page/1,El Periódico
Hospital Hernán Henríquez de Temuco detectó 24 casos de tuberculosis en 2024 y llama a estar atentos a los síntomas,15/04/2025,"Pese a los esfuerzos y planes de erradicación impulsados por la Organización Mundial de la Salud,…",https://www.elperiodico.cl/category/temuco/page/1,El Periódico
El Teatro Municipal de Temuco abre audiciones para su Orquesta Infantil Juvenil y su Semillero,14/04/2025,El proceso se realizará este sábado 12 de abril e incluye cupos tanto para niñas y…,https://www.elperiodico.cl/category/temuco/page/1,El Periódico
Programa Vigilantes Ambientales: Estudiantes de Universidad Santo Tomás Temuco se actualizan en calidad del aire y Plan de Descontaminación Atmosférica,11/04/2025,"La actividad fue encabezada por Álvaro Chávez, profesional de la Unidad de Calidad del Aire del…",https://www.elperiodico.cl/category/temuco/page/1,El Periódico
Estudiantes de UST Temuco vivieron jornada junto a persona diagnosticada con párkinson a los 35 años y autor de “Cuando pase el temblor”,09/04/2025,"La jornada se enmarcó en la conmemoración del Día de la Terapia Ocupacional en Chile, siendo…",https://www.elperiodico.cl/category/temuco/page/1,El Periódico
El Liceo Pablo Neruda de Temuco celebra 137 años de historia y compromiso con la educación pública,09/04/2025,"A lo largo de sus 137 años, el liceo ha transitado por diversas etapas, pasando de…",https://www.elperiodico.cl/category/temuco/page/1,El Periódico
A fines de este mes ingresará a licitación construcción de nuevo centro de esterilización de mascotas en Fundo El Carmen en Temuco,08/04/2025,Desde el municipio se dijo que actualmente se preparan los antecedentes técnicos para el ingreso del…,https://www.elperiodico.cl/category/temuco/page/1,El Periódico
Académica de la Universidad Santo Tomás Temuco presentó investigación sobre cicatrización con miel de ulmo en congreso internacional de heridas,07/04/2025,Se trató de la conferencia de la Asociación Europea de Tratamiento de Heridas en Barcelona. La…,https://www.elperiodico.cl/category/temuco/page/1,El Periódico
Inquisición del Siglo XXI: Temuco retrocede bajo el yugo del gran canciller de la UCT y ahora cancela show de Paloma Salas,05/04/2025,"Con la cancelación unilateral de dos espectáculos -primero el del comediante Don Carter, programado para el…",https://www.elperiodico.cl/category/temuco/page/1,El Periódico
Antes de comprar un auto usado en Temuco: Recomiendan verificar el historial del vehículo,04/04/2025,"Este último tiempo han surgido prácticas como la adulteración de kilometraje, especialmente en ciudades como Temuco,…",https://www.elperiodico.cl/category/temuco/page/2,El Periódico
Concierto ‘Ecos Románticos’: Temporada 2025 de la Orquesta Filarmónica de Temuco inicia con la pianista Svetlana Kotova como solista invitada,03/04/2025,"El primer concierto de la Temporada 2025 traerá el virtuosismo del Concierto para piano de Brahms,…",https://www.elperiodico.cl/category/temuco/page/2,El Periódico
Todos pueden participar: Tía Rica rematará más de 10 vehículos en Temuco,01/04/2025,"Todas y todos quienes sean mayores de 18 años podrán participar del remate, cuyos lotes incluyen…",https://www.elperiodico.cl/category/temuco/page/2,El Periódico
Las decisiones financieras pueden afectar seriamente la salud mental,31/03/2025,"En esta entrevista, el doctor Castellanos nos comparte su visión sobre la importancia de la educación…",https://www.elperiodico.cl/category/temuco/page/2,El Periódico
Realizan positivo balance de Sistema de Onda Verde en semáforos para el desplazamiento rápido de bomberos de Temuco,28/03/2025,"Se informó que gracias a la activación de esta tecnología, los tiempos de traslado se disminuyeron…",https://www.elperiodico.cl/category/temuco/page/2,El Periódico
Temuco abre convocatoria para celebrar el Mes de la Danza,28/03/2025,"El segundo “Encuentro Ko, Fluir en la Danza” invita a compañías, academias y elencos a postular…",https://www.elperiodico.cl/category/temuco/page/2,El Periódico
Hospital Regional de Temuco fue acreditado como el primer centro de excelencia en enfermedades inflamatorias del sistema público de Salud en Chile,27/03/2025,"El proceso de certificación, liderado por el Grupo Pancco y respaldado por la Agrupación de Crohn…",https://www.elperiodico.cl/category/temuco/page/2,El Periódico
Expulsan del sacerdocio a José Vicente Bastías Ñanco por delitos graves en Temuco,26/03/2025,"Las acusaciones contra Bastías Ñanco, relacionadas con abusos sexuales a menores, se remontan al menos a…",https://www.elperiodico.cl/category/temuco/page/2,El Periódico
"Todo un éxito fue la presentación de “Cats, el Musical”, en el Teatro Municipal de Temuco",26/03/2025,"Por primera vez en Chile, un teatro regional incorpora un musical de talla mundial a su…",https://www.elperiodico.cl/category/temuco/page/2,El Periódico
Rescatan a monito del monte y lo liberan en el Cerro Ñielol,24/03/2025,La especie chilena está catalogada como beneficiosa para la mantención de los bosques templados y es…,https://www.elperiodico.cl/category/temuco/page/2,El Periódico
